Titles,Ratings,Number_Of_Ratings,Prices,Durations,Tour_Provider
"Paris Highlights Bike Tour with Eiffel Tower, Louvre and Notre-Dame",Excellent,246 ratings,£31,4 hours,Viator
Pub Crawl Paris,Excellent,238 ratings,£17,5 hours,Viator
Luxury Paris Bus Dining Experience,Excellent,234 ratings,£92,2-3 hours,Viator
"Paris in a Day: Montmartre, Eiffel Tower, Seine River Cruise & Louvre",Excellent,229 ratings,£149,9 hours,Viator
Paris Hidden Secrets Small-Group Bike Tour,Excellent,226 ratings,£31,4 hours,Viator
Private Paris Walking Tour with a Personal Photographer,Excellent,221 ratings,£170,2 hours,Viator
Paris Walking Tour - The French Revolution,Excellent,202 ratings,£21,2 hours,Viator
Louvre Museum Skip-the-line Access Semi-Private Guided Tour,Excellent,190 ratings,£89,2-3 hours,Viator
"Champagne Day Trip with Moet&Chandon, Reims Cathedral & Family Winery from Paris",Excellent,185 ratings,£169,11 hours,Viator
Bohemian Paris: Latin Quarter Walking Tour,Excellent,183 ratings,£14,2 hours,Viator
Giverny Monet's House & Gardens Skip-the-Line Ticket & Transfer from Paris,Excellent,179 ratings,£85,6 hours,Viator
Champagne Area Small Group Day Trip with 8 Tastings & Lunch from Paris,Excellent,178 ratings,£229,11 hours,Viator
Highlights & Hidden Gems With Locals: Best of Paris Private Tour,Excellent,173 ratings,£110,3-4 hours,Viator
Small-Group Wine-Tasting Trip to the Champagne Region from Paris,Excellent,170 ratings,£226,9-10 hours,Viator
The 10 Tastings of Paris With Locals: Private Food Tour,Excellent,170 ratings,£177,3 hours,Viator
Paris Moulin Rouge Show with Exclusive VIP Seating & 4-Course Dinner,Excellent,168 ratings,£357,4 hours,Viator
Paris 90-Minute Street Art Tour,Excellent,165 ratings,£10,1-2 hours,GetYourGuide
Private Tour: 2CV Paris City Highlights Tour,Excellent,165 ratings,£168,1-2 hours,Viator
See 30 Plus Top Paris Sights with a Fun Guide,Excellent,164 ratings,£54,4-5 hours,Viator
Segway Eiffel Tour Paris,Excellent,157 ratings,£47,2-3 hours,Viator
Louvre & Orsay Museums Skip-the-line Semi-Private Guided Combo Tour,Excellent,157 ratings,£161,5-6 hours,Viator
Ultimate Paris Food Tour,Excellent,154 ratings,£101,3 hours,Viator
Eiffel Tower Direct Access to the Second Floor,Excellent,154 ratings,£50,2 hours,GetYourGuide
Paris Your Perfect Day in the City Custom Private Tour,Excellent,150 ratings,£243,3-7 hours,Viator
Paris: Private Tour with a Local,Excellent,148 ratings,£30,2 hours,GetYourGuide
Renew Your Wedding Vows in Paris,Excellent,148 ratings,£251,2 hours,Viator
The Père Lachaise Cemetery: Guided 2-Hour Small-Group Tour,Excellent,147 ratings,£19,2 hours,GetYourGuide
Loire Valley Three Top Castles Small-Group Day Trip with Wine Tasting,Excellent,147 ratings,£179,12 hours,Viator
Three Hour Marais Tour,Excellent,144 ratings,£213,3 hours,Viator
Paris: How to Become a Parisian 1-Hour Show,Excellent,143 ratings,£20,1 hour,GetYourGuide
Paris City Sightseeing Half Day Guided Segway Tour with a Local Guide,Excellent,143 ratings,£43,3 hours,Viator
Paris Catacombs: VIP Skip-the-Line Restricted Access Tour,Excellent,139 ratings,£85,2 hours,GetYourGuide
Paris: French Wine Tasting Class with Sommelier,Excellent,129 ratings,£50,2 hours,GetYourGuide
Paris Private Tour in Classic French Citroën,Excellent,122 ratings,£135,3 hours,Viator
From Paris: Versailles Palace Skip-the-Line Half-Day Trip,Excellent,119 ratings,£140,4 hours,GetYourGuide
Private 2-Hour Guided Tour in Orsay Museum Paris,Excellent,118 ratings,£63,2 hours,Viator
"Small group Paris tour: Wine, Cheese & Pastries at the Marais",Excellent,114 ratings,£80,3-4 hours,Viator
Masterpieces of the Louvre: Private Skip-the-Line Tour,Excellent,114 ratings,£137,2-3 hours,Viator
Paris Montmartre: 2-Hour Walking Tour in German,Excellent,113 ratings,£17,2 hours,GetYourGuide
Eiffel Tower Priority Access Guided Tour with Summit Access,Excellent,113 ratings,£78,1-2 hours,Viator
Normandy Small-Group Day Trip D-Day Battlefields & Landing Beaches from Paris,Excellent,111 ratings,£190,12 hours,Viator
Saint-Germain-des-Prés: Pastry and Chocolate Walking Tour,Excellent,110 ratings,£93,3 hours,GetYourGuide
Paris Hidden Montmartre Small-Group Walking Tour,Excellent,108 ratings,£31,2 hours,Viator
Kids and Families Skip-the-Line Private Louvre Tour in Paris,Excellent,108 ratings,£220,2-3 hours,Viator
Skip the Line - Closing Time with the Mona Lisa,Excellent,108 ratings,£76,3 hours,Viator
Add one of these authentic and customized tours of Paris on your to do list!,Excellent,105 ratings,£17,1-2 hours,Viator
Private City Kickstart Tour: Paris,Excellent,103 ratings,£59,2 hours,Viator
Lonely Planet Experiences: Paris Food & Drink Tour Of Saint-Germain,Excellent,103 ratings,£57,3-4 hours,Viator
Skip-the-line Musée d’Orsay Orsay Museum Guided Tour - Semi-Private 8ppl Max,Excellent,100 ratings,£89,2-3 hours,Viator
Exclusive Private Paris Tour by Citroen 2CV,Excellent,100 ratings,£293,3 hours,Viator
Street Art tour in Paris - Discover Paris murals !,Excellent,91 ratings,£50,2-3 hours,Viator
"Notre-Dame, Île de la Cité & St. Severin Church Guided Tour",Excellent,91 ratings,£13,1-2 hours,GetYourGuide
Musée d’Orsay Highlights: Skip-The-Line Guided Tour,Excellent,90 ratings,£67,2 hours,GetYourGuide
Private tour of Paris by Night with Champagne,Excellent,87 ratings,£81,2 hours,GetYourGuide
Paris Sightseeing Family Friendly Guided Electric Bike Tour,Excellent,84 ratings,£55,2 hours,Viator
Private Expert Guide - Customized Itinerary,Excellent,82 ratings,£621,1-4 hours,Viator
Montmartre 2-Hour Walking Tour in English,Excellent,81 ratings,£25,2 hours,GetYourGuide
Mont Saint-Michel Small-Group Day Trip with Abbey Entrance & Cider Tasting,Excellent,79 ratings,£169,12 hours,Viator
Musée du Quai Branly - Jacques Chirac: Admission Ticket,Excellent,79 ratings,£10,Safety measures,GetYourGuide
Paris Evening Bike Tour with 1-hour Seine River Cruise,Excellent,79 ratings,£38,4 hours,Viator
Paris: Macaron Class at Galeries Lafayette,Excellent,79 ratings,£42,1-2 hours,GetYourGuide
Giverny's House & Gardens plus Versailles Palace Day Trip with Lunch from Paris,Excellent,79 ratings,£229,9 hours,Viator
Paris City Tour and Lunch by Luxury Bus,Excellent,79 ratings,£60,1-2 hours,Viator
Parisian Life Style Private Photo Shoot at Eiffel Tower,Excellent,78 ratings,£157,1 hour,Viator
Catacombs of Paris Semi-Private VIP Restricted Access Tour,Excellent,77 ratings,£86,2 hours,Viator
Skip-the-line Musée d’Orsay Orsay Museum Guided Tour - Private Tour,Excellent,75 ratings,£89,2-3 hours,Viator
Eiffel Tower: Direct Access Guided Tour 2nd Level and Summit,Excellent,75 ratings,£38,1-2 hours,GetYourGuide
Private Guided Photoshoot Experience at the Eiffel Tower,Excellent,74 ratings,£68,1 hour,Viator
"Louvre Highlights Tour: Mona Lisa, Venus de Milo & Crown Jewels",Excellent,73 ratings,£53,2 hours,Viator
180° Paris by Night Tour: Exclusively for You & Your Group,Excellent,71 ratings,£73,2-3 hours,Viator
Loire Valley Castles Small-Group Day Trip & Wine Tasting from Paris,Excellent,71 ratings,£203,12 hours,Viator
Seine River Evening Cruise and Eiffel Tower Tour,Excellent,70 ratings,£72,2-3 hours,GetYourGuide
Private Tour: Secret Paris Tour in 2CV,Excellent,68 ratings,£168,1-2 hours,Viator
Vintage Private Tour: Sidecar Motorcycle Ural Paris (1hr30),Excellent,67 ratings,£146,1-2 hours,Viator
Paris: Guided Segway Tour,Excellent,67 ratings,£43,3 hours,GetYourGuide
ClueZ Paris Tour,Excellent,67 ratings,£78,1-2 hours,Viator
"Heart of Paris Walking Tour: Île de la Cité, Seine Cruise, Sainte Chapelle",Excellent,62 ratings,£32,1-2 hours,Viator
Must-Sees of the Louvre Museum: 1.5-Hour Guided Tour,Excellent,62 ratings,£46,1-2 hours,GetYourGuide
From Paris: Versailles by Bike and Palace Entrance,Excellent,62 ratings,£84,8 hours,GetYourGuide
Paris: Tootbus Night Bus Tour,Excellent,62 ratings,£24,1-2 hours,GetYourGuide
Paris and Montmartre by Night Tour in a 2CV,Excellent,62 ratings,£174,2 hours,Viator
Musée d'Orsay Skip-the-Line Impressionists Guided Tour,Excellent,61 ratings,£47,1-2 hours,Viator
Paris: 3-Hour Private Segway Tour,Excellent,60 ratings,£81,3 hours,GetYourGuide
Spend a Day Like A Parisian: Customized Walking Tour,Excellent,60 ratings,£100,2-3 hours,Viator
Paris Louvre Magnificent Museum Skip the Line Access Guided Tour,Excellent,59 ratings,£60,3 hours,Viator
The 10 Tastings of Paris With Locals: Montmartre Private Food Tour,Excellent,59 ratings,£151,3 hours,Viator
Paradis Latin: Cabaret Show and Dinner,Excellent,58 ratings,£119,3-4 hours,GetYourGuide
Versailles Palace and Gardens Tour by Train from Paris with Skip-the-Line,Excellent,56 ratings,£72,4 hours,Viator
Louvre Highlights Skip-the-Line Small Group Tour,Excellent,56 ratings,£59,2 hours,GetYourGuide
Paris: Charming Nooks and Crannies Bike Tour,Excellent,53 ratings,£33,3 hours,Viator
Montmartre and Moulin Rouge and Sacré Coeur Walking Tour,Excellent,53 ratings,£42,2 hours,Viator
Private day tour to Normandy D-day beaches from Paris,Excellent,53 ratings,"£1,276",13 hours,Viator
Classic Vintage Tour on Sidecar Motorcycle Ural: Best of Paris (1hour),Excellent,51 ratings,£103,1 hour,Viator
2hr Latin Quarter Paris Food Tour,Excellent,51 ratings,£64,2-3 hours,Viator
Full-Day North Burgundy and Chablis Wine Tasting Tour from Paris,Excellent,51 ratings,£238,10-11 hours,Viator
Paris Wine and Cheese Pairing Small-Group Experience,Excellent,50 ratings,£46,1-2 hours,Viator
Paris Private Photoshoot Experience,Excellent,49 ratings,£235,1 hour,Viator
Semi-Private Louvre Museum Tour with Skip-the-Line Entry - Group of 10 max,Excellent,49 ratings,£65,3 hours,Viator
Parcours Bois de Vincennes - Segway Tour of Paris,Excellent,48 ratings,£59,2-3 hours,Viator
Paris: Perfume Creation Workshop,Excellent,48 ratings,£76,1 hour,GetYourGuide
Paris: Montmartre 2-Hour Walking Tour,Excellent,48 ratings,£21,2 hours,GetYourGuide
Paris Classic tour in 2CV,Excellent,47 ratings,£82,2 hours,Viator
Mont Saint Michel Full Day Experience from Paris by Private Coach,Excellent,47 ratings,£112,14 hours,Viator
Private Paris Photography Tour with a Professional Photographer,Excellent,46 ratings,£196,3 hours,Viator
"The Marais Walking Food Tour: Cheese, Wine and Delicacies",Excellent,46 ratings,£94,3 hours,GetYourGuide
Skip-the-line Louvre & Orsay Museums Guided Combo Tour - Private Tour,Excellent,45 ratings,£161,5-6 hours,Viator
Paris Eiffel Tower Wedding Vows Renewal Ceremony with Photo Shoot,Excellent,44 ratings,£281,1-2 hours,Viator
"Private Tour: Sainte Chapelle, Conciergerie & Cluny, through the Latin Quarter",Excellent,44 ratings,£342,3 hours,Viator
Orsay Masterpieces - Priority access - Small group of max 6 people - 2h tour,Excellent,43 ratings,£60,2 hours,Viator
Paris Latin Quarter Walking Tour,Excellent,42 ratings,£14,2 hours,GetYourGuide
Paris Romantic Private Tour: Lovers Montmartre Exploration Game,Excellent,42 ratings,£9,1-2 hours,Viator
"Saint-Germain The Original Chocolate, Pastries & Macaron Tasting Tour",Excellent,42 ratings,£86,3 hours,Viator
Louvre Tour for Kids & Families with Skip-the-line Tickets & Must-See Pieces,Excellent,42 ratings,£229,1-3 hours,Viator
Paris in a Day - Private Experience,Excellent,42 ratings,£311,5-6 hours,Viator
Montmartre & Sacre Coeur Interior Guided Walking Tour - Private Tour,Excellent,39 ratings,£62,2-3 hours,Viator
Private Boat Cruise in Paris,Excellent,39 ratings,£173,2 hours,Viator
Paris Street Art Tour: Street Art in the 13th District,Excellent,39 ratings,£10,1-2 hours,GetYourGuide
Paris Highlights: Half Day Private Walking Tour,Excellent,39 ratings,£259,3 hours,Viator
From Paris: Small-Group Champagne Tour with 3-Course Lunch,Excellent,39 ratings,£255,8 hours,GetYourGuide
Paris City Center & Skip-the-Line Louvre Museum Combo Tour - Private Tour,Excellent,38 ratings,£161,5-6 hours,Viator
Versailles Skip-the-Line & Giverny Small Group Day Trip from Paris,Excellent,37 ratings,£169,9 hours,Viator
Notre Dame Quartier Sainte-Chapelle & Conciergerie 2H Private Tour in Paris,Excellent,37 ratings,£63,2 hours,Viator
Paris: Père Lachaise Cemetery Walking Tour,Excellent,37 ratings,£21,2 hours,GetYourGuide
"Paris: Macarons Class, Teatime and To-Go Box",Excellent,36 ratings,£84,3 hours,GetYourGuide
Historical Le Marais Private Tour,Excellent,36 ratings,£59,2 hours,Viator
Montmartre Walking Tour to the Sacre Coeur & Skip-the-Line to Musée d'Orsay,Excellent,35 ratings,£39,1-2 hours,Viator
6-Hour Private Custom Tour of Paris,Excellent,35 ratings,£383,6 hours,Viator
Louvre Museum Skip The Line Access Tickets,Excellent,34 ratings,£32,2-4 minutes,Viator
Giverny: Monet's Garden Half-Day Tour from Paris,Excellent,34 ratings,£76,5 hours,GetYourGuide
Giverny Monet's Garden and Auvers-sur-Oise with Van Gogh House Full Day Trip,Excellent,34 ratings,£135,10 hours,Viator
Champagne Area Small Group Day Trip with Cellar Visits & Tastings from Paris,Excellent,34 ratings,£258,8 hours,Viator
Paris Private Tour with a real Italian Guide,Excellent,33 ratings,£34,1-2 hours,Viator
"Normandy D-Day Beaches Day Trip with Juno Beach, Canadian Cemetery & House",Excellent,33 ratings,£169,12 hours,Viator
Golden Versailles Palace and Garden Tour,Excellent,33 ratings,£78,3 hours,Viator
Paris: Musée d’Orsay Skip-The-Line Guided Tour,Excellent,32 ratings,£107,2 hours,GetYourGuide
Paris: Guided tour of Marais in German,Excellent,32 ratings,£17,2 hours,GetYourGuide
"Ste Chapel, 'Ile de la cité', Louvre and Montmartre Private Day Tour",Excellent,32 ratings,£404,7 hours,Viator
Paris Bakery Behind-the-Scenes Tour,Excellent,32 ratings,£72,2 hours,Viator
Professional Photo Shoot Walking Tour in Central Paris,Excellent,31 ratings,£162,2 hours,Viator
Versailles - Skip-the-line Private tour from Paris (HALF or FULL DAY),Excellent,31 ratings,£595,4-8 hours,Viator
Paris: City Tour by Luxury Panoramic Open-Top French Car,Excellent,30 ratings,£53,2 hours,GetYourGuide
Fontainebleau and Vaux-Le-Vicomte Castle Small-Group Day Trip From Paris,Excellent,30 ratings,£135,10 hours,Viator
Family Treasure Hunt at the Louvre Museum,Excellent,30 ratings,£340,2 hours,Viator
From Paris: Champagne Trip & Tasting at Nicolas Feuillatte,Excellent,30 ratings,£114,10 hours,GetYourGuide
Paris: Authentic French Experience with a Local,Excellent,29 ratings,£30,1-2 hours,GetYourGuide
Paris's Flavors: Customized Food Tour for the Whole Family,Excellent,29 ratings,£121,2 hours,Viator
Paris Full-Day Small Group or Private Tour: Become a Parisian for a Day,Excellent,29 ratings,£133,8 hours,Viator
Paradis Latin: Cabaret Show and Champagne,Excellent,29 ratings,£68,1-2 hours,GetYourGuide
Le Marais: Pastry and Chocolate Food Tour,Excellent,29 ratings,£93,3 hours,GetYourGuide
Belleville Street Art Tour with an Artist,Excellent,28 ratings,£27,2 hours,Viator
From Paris: Small-Group Tour of Loire Castles,Excellent,28 ratings,£221,12 hours,GetYourGuide
Withlocals Your Way! 3 hours Paris 100% Personalized City Tour,Excellent,27 ratings,£108,3 hours,Viator
Versailles Palace and Gardens Tour with Gourmet Lunch by Chef Ducasse,Excellent,27 ratings,£128,5 hours,Viator
Walking Tour with Breakfast: Legends of Old Paris,Excellent,27 ratings,£81,3-4 hours,Viator
Paris Photoshoot Tour with Professional Photographer,Excellent,27 ratings,£162,1-3 hours,Viator
Paris City Center History of Paris Guided Walking Tour - Semi-Private 8ppl Max,Excellent,26 ratings,£62,2-3 hours,Viator
Montmartre Art Walking Tour,Excellent,26 ratings,£39,1-2 hours,Viator
Paris Prestige : Saint-Germain-Des-Prés Food Tour,Excellent,26 ratings,£84,3 hours,Viator
Seine River Direct Access Guided Cruise by Vedettes de Paris,Excellent,26 ratings,£15,1 hour,Viator
Paris Private Tour in Vintage Car,Excellent,26 ratings,£212,2 hours,Viator
WWI Belleau Wood & Meaux Museum of the Great War Private Day Trip from Paris,Excellent,26 ratings,£519,10 hours,Viator
Murals XXL Street Art Tour,Excellent,25 ratings,£27,2 hours,Viator
Paris 2.5-Hour Unique Macaron Cooking Class,Excellent,25 ratings,£90,2-3 hours,GetYourGuide
Layover in Paris round 24/7,Excellent,25 ratings,£332,5-7 hours,Viator
Paris: Pure Chocolate Walking Tour,Excellent,25 ratings,£68,2 hours,GetYourGuide
Paris 3-hour Sightseeing Bike Tour,Excellent,24 ratings,£31,3 hours,Viator
Somme Battlefields Small-Group Day Trip with John Monash Centre from Paris,Excellent,24 ratings,£169,11 hours,Viator
Workshop de photographie à Paris,Excellent,24 ratings,£199,3 hours,Viator
Paris at the First Lodges - Ducasse sur Seine Lunch Cruise,Excellent,24 ratings,£115,2 hours,Viator
The Sweet Pastry Private Tour of Paris in Le Marais District,Excellent,24 ratings,£117,2-3 hours,Viator
Paris Highlights Private Tour,Excellent,24 ratings,£595,7 hours,Viator
Private Historical Photo Tour in Paris,Excellent,23 ratings,£68,1-2 hours,Viator
Paris Catacombs Skip-The-Line Tour,Excellent,23 ratings,£25,1-2 hours,Viator
Night Tour of Paris in Electric Bike,Excellent,23 ratings,£64,1-2 hours,Viator
Paris Cooking Class: Make Your Own Croissants,Excellent,23 ratings,£93,3 hours,GetYourGuide
Private Paris Ghost Tour: Mona Lisa's Murder Night-time Exploration Game,Excellent,23 ratings,£4,1-2 hours,Viator
Latin Quarter Le Quartier Latin Guided Walking Tour - Semi-Private 8ppl Max,Excellent,22 ratings,£62,2-3 hours,Viator
Leonardo and More Louvre Tour with an Art Historian (tickets included),Excellent,22 ratings,£85,2 hours,Viator
"See 10+ Top Paris Sights, Fun Guide",Excellent,22 ratings,£29,2-3 hours,Viator
"Versailles Full-Day Saver Tour: Palace, Gardens, and Estate of Marie Antoinette",Excellent,22 ratings,£111,8 hours,Viator
Montmartre & Sacre Coeur Interior Guided Walking Tour - Semi-Private 8ppl Max,Excellent,22 ratings,£62,2-3 hours,Viator
Private photo session with 1900's vintage clothing and accessories,Excellent,22 ratings,£179,2 hours,Viator
Hidden Gems of Montmartre With a Local Guide,Excellent,22 ratings,£30,2 hours,GetYourGuide
Small-Group Loire Valley Castles Full-Day Tour from Paris,Excellent,22 ratings,£179,12 hours,GetYourGuide
Historical Paris Walking Tour to Vibrant Food Market,Excellent,22 ratings,£264,2-3 hours,Viator
Paris Historical Craft Beer Walking Tour with Tasting,Excellent,22 ratings,£50,3 hours,Viator
Normandy D-Day Landing Beaches Private Day Trip from Paris,Excellent,22 ratings,£595,12 hours,Viator
Arc de Triomphe and Seine River Cruise,Excellent,22 ratings,£22,1-3 hours,Viator
From Paris: VIP Champagne Private Day Trip guided by Local Vineyard Owner,Excellent,22 ratings,£699,9 hours,Viator
Montmartre Street Art Tour with an Artist,Excellent,21 ratings,£31,2 hours,Viator
Workshop de perfectionnement,Excellent,21 ratings,£196,3 hours,Viator
Louvre Museum Semi-Private Skip the Line Guided Tour,Excellent,21 ratings,£73,3 hours,Viator
Champagne Trip from Paris with Tasting at Nicolas Feuillatte Famous Cellar,Excellent,21 ratings,£114,10 hours,Viator
Electric All Terrain Scooter In Forest Of Fontainebleau,Excellent,20 ratings,£39,2 hours,Viator
Paris: French Macarons Baking Class with a Parisian Chef,Excellent,20 ratings,£101,3 hours,GetYourGuide
Paris by Night 3h Tour in Vintage French Car,Excellent,20 ratings,£297,3 hours,Viator
Last Entry: Versailles Tour After the Crowds,Excellent,20 ratings,£84,4 hours,GetYourGuide
"Paris Private Custom Tour with a Local Guide, Hidden Gems & Highlights ★★★★★",Excellent,20 ratings,£150,2-8 hours,Viator
Private Louvre Museum Tour for Kids & Families with Alberto Local Guide in Paris,Excellent,20 ratings,£356,2 hours,Viator
LOUVRE PRIVATE TOUR : Skip the line & Local expert guide - Entry fees included,Excellent,20 ratings,£424,2-3 hours,Viator
The Fashionista Experience: Personal Shopping and Styling Experience in Paris,Excellent,20 ratings,£332,2 hours,Viator
Private Paris Airport Layover Tour,Excellent,20 ratings,£461,5 hours,Viator
Louvre Museum Private 2-h Tour on Italian Art and masterpieces,Excellent,19 ratings,£63,2 hours,Viator
Stories and Secrets of the French Revolution: 3-Hour Walking Tour,Excellent,19 ratings,£51,3 hours,Viator
Private Tour: Personal Travel Photographer Tour in Paris,Excellent,19 ratings,£152,1-3 hours,Viator
The Louvre: Small Group Tour with Skip-the-Line Access,Excellent,19 ratings,£65,3 hours,GetYourGuide
Orsay Museum Private Tour - Skip the line & Local expert guide,Excellent,19 ratings,£297,2-3 hours,Viator
Segway tour Paris,Excellent,18 ratings,£67,2-3 hours,Viator
The Famous Graves of Père Lachaise - Immersive Podcast Tour,Excellent,18 ratings,£5,45-90 minutes,Viator
"Secret Montmartre, smartphone audioguided tour",Excellent,18 ratings,£9,1-2 hours,Viator
Paris: 1.5-Hour Private Segway Tour,Excellent,18 ratings,£64,1-2 hours,GetYourGuide
Notre Dame's Island with Sainte Chapelle and Marie Antoinette's prison,Excellent,18 ratings,£43,2-3 hours,Viator
Paris by Night 2h Tour in Vintage French Car,Excellent,18 ratings,£212,2 hours,Viator
Private Half Day Historic Tour,Excellent,18 ratings,£259,4 hours,Viator
Louvre Da Vinci Treasure Hunt - Family Tour - Entry Fees included,Excellent,18 ratings,£137,2 hours,Viator
Sweet & Chocolate Family Treasure Hunt in Paris,Excellent,18 ratings,£347,2 hours,Viator
Bateaux Parisiens Christmas Seine River Cruise with 5-Course Dinner or Lunch,Excellent,18 ratings,£81,2-3 hours,Viator
Fontainebleau Forest Half Day Hot-Air Balloon Ride with Chateau de Fontainebleau,Excellent,18 ratings,£212,3 hours,Viator
Private Photography Walking Tour of Paris: Latin Quarter or Montmartre,Excellent,18 ratings,£277,3 hours,Viator
All-American Private Day Tour to Normandy D-Day Beaches from Paris,Excellent,18 ratings,"£1,361",13 hours,Viator
Highlights and hidden pearls in Louvre,Excellent,17 ratings,£35,2 hours,Viator
Paris Podcast Tours: Unlock the authentic side to Paris,Excellent,17 ratings,£25,1-6 hours,Viator
Pere Lachaise Cemetery Guided Walking Tour - Semi-Private 8ppl Max,Excellent,17 ratings,£62,2-3 hours,Viator
From Louvre to Street Art - original museum guided tour (skip the line!),Excellent,17 ratings,£197,2-3 hours,Viator
The Fashionista Experience: Personal Shopping and Styling in Paris (Teenagers),Excellent,17 ratings,£170,2 hours,Viator
